47,"箱根登山鉄道線（小田原 - 箱根湯本）","箱根登山鉄道線（小田原 - 箱根湯本）","箱根登山鉄道線（小田原 - 箱根湯本）","箱根登山鉄道線（小田原 - 箱根湯本）","","Hakone Tozan Line","Hakone Tozan Line","Hakone Tozan Line","Hakone Tozan Line",10,odpt.Railway:HakoneTozan.Rail.OdawaraSide,,#2288cc,hakone_tozan,OH,,,,"2015-01-29 02:06:28.975312","2015-01-29 02:06:28.975312",,f,,f,
48,"箱根登山鉄道線（箱根湯本 - 強羅）","箱根登山鉄道線（箱根湯本 - 強羅）","箱根登山鉄道線（箱根湯本 - 強羅）","箱根登山鉄道線（箱根湯本 - 強羅）","","Hakone Tozan Line","Hakone Tozan Line","Hakone Tozan Line","Hakone Tozan Line",10,odpt.Railway:HakoneTozan.Rail.GoraSide,,#2288cc,hakone_tozan,OH,,,,"2015-01-29 02:06:29.107316","2015-01-29 02:06:29.107316",,f,,f,
49,"池袋線","池袋線","西武池袋線","西武池袋線","","Ikebukuro Line","Ikebukuro Line","Seibu Ikebukuro Line","Seibu Ikebukuro Line",11,odpt.Railway:Seibu.Ikebukuro,,#ff6600,seibu_ikebukuro,SI,,,,"2015-01-29 02:06:29.242320","2015-01-29 02:06:29.242320",,f,,f,
50,"秩父線","秩父線","西武秩父線","西武秩父線","","Chichibu Line","Chichibu Line","Seibu Chichibu Line","Seibu Chichibu Line",11,odpt.Railway:Seibu.SeibuChichibu,,#ff6600,seibu_chichibu,SI,,,,"2015-01-29 02:06:29.393324","2015-01-29 02:06:29.393324",,f,,f,
51,"豊島線","豊島線","西武豊島線","西武豊島線","","Toshima Line","Toshima Line","Seibu Toshima Line","Seibu Toshima Line",11,odpt.Railway:Seibu.Toshima,,#ff6600,seibu_toshima,SI,,,,"2015-01-29 02:06:29.514328","2015-01-29 02:06:29.514328",,f,,f,
52,"狭山線","狭山線","西武狭山線","西武狭山線","","Sayama Line","Sayama Line","Seibu Sayama Line","Seibu Sayama Line",11,odpt.Railway:Seibu.Sayama,,#ff6600,seibu_sayama,SY,,,,"2015-01-29 02:06:29.668333","2015-01-29 02:06:29.668333",,f,,f,
53,"西武有楽町線","西武有楽町線","西武有楽町線","西武有楽町線","","Seibu Yurakucho Line","Seibu Yurakucho Line","Seibu Yurakucho Line","Seibu Yurakucho Line",11,odpt.Railway:Seibu.SeibuYurakucho,,#ff6600,seibu_yurakucho,SI,,,,"2015-01-29 02:06:29.807337","2015-01-29 02:06:29.807337",,f,,f,
54,"新宿線","新宿線","西武新宿線","西武新宿線","","Shinjuku Line","Shinjuku Line","Seibu Shinjuku Line","Seibu Shinjuku Line",11,odpt.Railway:Seibu.Shinjuku,,#0099cc,seibu_shinjuku,SS,,,,"2015-01-29 02:06:29.944341","2015-01-29 02:06:29.944341",,f,,f,
55,"スカイツリーライン（伊勢崎線）/伊勢崎線","スカイツリーライン（伊勢崎線）","東武スカイツリーライン（伊勢崎線）","東武スカイツリーライン（伊勢崎線）","","Sky Tree and Isesaki Line","Sky Tree and Isesaki Line","Tobu Sky Tree and Isesaki Line","Tobu Sky Tree and Isesaki Line",12,odpt.Railway:Tobu.SkyTreeIsesaki,,#0f6cc3,tobu_sky_tree_and_isesaki,TS,,,,"2015-01-29 02:06:30.076345","2015-01-29 02:06:30.076345",,f,,f,
56,"スカイツリーライン（押上 - 曳舟）","スカイツリーライン（押上 - 曳舟）","東武スカイツリーライン（押上 - 曳舟）","東武スカイツリーライン（押上 - 曳舟）","","Sky Tree Line (Oshiage - Hikifune)","Sky Tree Line (Oshiage - Hikifune)","Tobu Sky Tree Line (Oshiage - Hikifune)","Tobu Sky Tree Line (Oshiage - Hikifune)",12,odpt.Railway:Tobu.SkyTreeOshiage,,#0f6cc3,tobu_sky_tree_oshiage_hikifune,TS,,,,"2015-01-29 02:06:30.208349","2015-01-29 02:06:30.208349",,f,,f,
57,"スカイツリーライン","スカイツリーライン","東武スカイツリーライン","東武スカイツリーライン","","Sky Tree Line","Sky Tree Line","Tobu Sky Tree Line","Tobu Sky Tree Line",12,odpt.Railway:Tobu.SkyTree,,#0f6cc3,tobu_sky_tree,TS,,,,"2015-01-29 02:06:30.351354","2015-01-29 02:06:30.351354",,f,,f,
58,"伊勢崎線","伊勢崎線","東武伊勢崎線","東武伊勢崎線","","Isesaki Line","Isesaki Line","Tobu Isesaki Line","Tobu Isesaki Line",12,odpt.Railway:Tobu.Isesaki,,#ff0000,tobu_isesaki,TI,,,,"2015-01-29 02:06:30.483358","2015-01-29 02:06:30.483358",,f,,f,
59,"日光線","日光線","東武日光線","東武日光線","","Nikko Line","Nikko Line","Tobu Nikko Line","Tobu Nikko Line",12,odpt.Railway:Tobu.Nikko,,#ffa500,tobu_nikko,TN,,,,"2015-01-29 02:06:30.626362","2015-01-29 02:06:30.626362",,f,,f,
60,"鬼怒川線","鬼怒川線","東武鬼怒川線","東武鬼怒川線","","Kinugawa Line","Kinugawa Line","Tobu Kinugawa Line","Tobu Kinugawa Line",12,odpt.Railway:Tobu.Kinugawa,,#ffa500,tobu_kinugawa,TN,,,,"2015-01-29 02:06:30.758366","2015-01-29 02:06:30.758366",,f,,f,
61,"東上線","東上線","東武東上線","東武東上線","","Tojo Line","Tojo Line","Tobu Tojo Line","Tobu Tojo Line",12,odpt.Railway:Tobu.Tojo,,#000099,tobu_tojo,TJ,,,,"2015-01-29 02:06:30.912371","2015-01-29 02:06:30.912371",,f,,f,
62,"",,"埼玉高速鉄道","埼玉高速鉄道","","",,"Saitama Railway","Saitama Railway",13,odpt.Railway:SaitamaRailway.SaitamaRailway,,#6699ff,saitama,,,,,"2015-01-29 02:06:31.055375","2015-01-29 02:06:31.055375",,f,,f,
63,"",,"東葉高速鉄道","東葉高速鉄道","","",,"Toyo Rapid Railway","Toyo Rapid Railway",14,odpt.Railway:ToyoRapidRailway.ToyoRapidRailway,,#3fb036,toyo_rapid,TR,,,,"2015-01-29 02:06:31.188379","2015-01-29 02:06:31.188379",,f,,f,
64,"京王線","京王線","京王線","京王線","","Keio Line","Keio Line","Keio Line","Keio Line",15,odpt.Railway:Keio.Keio,,#dd0077,keio_line,KO,,,,"2015-01-29 02:06:31.331383","2015-01-29 02:06:31.331383",,f,,f,
65,"新線","新線","京王新線","京王新線","","New Line","New Line","Keio New Line","Keio New Line",15,odpt.Railway:Keio.New,,#dd0077,keio_new,KO,,,,"2015-01-29 02:06:31.485388","2015-01-29 02:06:31.485388",,f,,f,
66,"井の頭線","井の頭線","京王井の頭線","京王井の頭線","","Inokashira Line","Inokashira Line","Keio Inokashira Line","Keio Inokashira Line",15,odpt.Railway:Keio.Inokashira,,#000088,keio_inokashira,IK,,,,"2015-01-29 02:06:31.628392","2015-01-29 02:06:31.628392",,f,,f,
67,"本線","本線","京成本線","京成本線","","Main Line","Main Line","Keisei Main Line","Keisei Main Line",16,odpt.Railway:Keisei.KeiseiMain,,#005aaa,keisei_main,KS,,,,"2015-01-29 02:06:31.771397","2015-01-29 02:06:31.771397",,f,,f,
68,"押上線","押上線","京成押上線","京成押上線","","Oshiage Line","Oshiage Line","Keisei Oshiage Line","Keisei Oshiage Line",16,odpt.Railway:Keisei.KeiseiOshiage,,#005aaa,keisei_oshiage,KS,,,,"2015-01-29 02:06:31.979403","2015-01-29 02:06:31.979403",,f,,f,
69,"",,"つくばエクスプレス","つくばエクスプレス","","",,"Tsukuba Express","Tsukuba Express",17,odpt.Railway:MIR.TX,,#000084,tsukuba_exp,,,,,"2015-01-29 02:06:32.112407","2015-01-29 02:06:32.112407",,f,,f,
70,"ゆりかもめ","ゆりかもめ","ゆりかもめ","ゆりかもめ","",Yurikamome,Yurikamome,Yurikamome,Yurikamome,18,odpt.Railway:Yurikamome.Yurikamome,,#00418e,yurikamome_line,U,,,,"2015-01-29 02:06:32.244411","2015-01-29 02:06:32.244411",,f,,f,
71,"",,"りんかい線","りんかい線","","",,"Rinkai Line","Rinkai Line",19,odpt.Railway:TWR.Rinkai,,#00418e,rinkai,,,,,"2015-01-29 02:06:32.459418","2015-01-29 02:06:32.459418",,f,,f,
72,"未定義",,,,,Undefined,,,,20,odpt.Railway:Undefined,,,,,,,,"2015-01-29 02:06:32.587422","2015-01-29 02:06:32.587422",,f,,f,
