181,712,14,,5,"2015-01-29 02:50:36.817068","2015-01-29 02:50:36.817068"
182,712,29,,5,"2015-01-29 02:50:36.971073","2015-04-13 20:58:35.613413"
183,719,8,,5,"2015-01-29 02:50:40.142170","2015-01-29 02:50:40.142170"
184,719,10,,5,"2015-01-29 02:50:40.284174","2015-01-29 02:50:40.284174"
185,719,15,,9,"2015-01-29 02:50:40.427178","2015-01-29 02:50:40.427178"
186,719,29,,3,"2015-01-29 02:50:40.570183","2015-04-13 20:57:46.986217"
187,722,8,,5,"2015-01-29 02:50:42.442240","2015-01-29 02:50:42.442240"
188,722,10,,5,"2015-01-29 02:50:42.585244","2015-01-29 02:50:42.585244"
189,722,15,,9,"2015-01-29 02:50:42.727249","2015-01-29 02:50:42.727249"
190,722,29,,3,"2015-01-29 02:50:42.881253","2015-04-13 20:57:47.138221"
191,729,8,,5,"2015-01-29 02:50:45.547335","2015-01-29 02:50:45.547335"
192,729,10,,5,"2015-01-29 02:50:45.710340","2015-01-29 02:50:45.710340"
193,729,15,,9,"2015-01-29 02:50:45.853344","2015-01-29 02:50:45.853344"
194,729,29,,3,"2015-01-29 02:50:46.041350","2015-04-13 20:57:47.242223"
195,732,8,,5,"2015-01-29 02:50:47.329389","2015-01-29 02:50:47.329389"
196,732,10,,5,"2015-01-29 02:50:47.481394","2015-01-29 02:50:47.481394"
197,732,15,,9,"2015-01-29 02:50:47.647399","2015-01-29 02:50:47.647399"
198,732,29,,3,"2015-01-29 02:50:47.801403","2015-04-13 20:57:47.349226"
199,734,5,,5,"2015-01-29 02:50:49.046441","2015-01-29 02:50:49.046441"
200,734,15,,4,"2015-01-29 02:50:49.221447","2015-01-29 02:50:49.221447"
201,734,10,,5,"2015-01-29 02:50:49.397452","2015-01-29 02:50:49.397452"
202,734,29,,7,"2015-01-29 02:50:49.562457","2015-04-13 20:58:15.688923"
203,735,5,,5,"2015-01-29 02:50:50.872497","2015-01-29 02:50:50.872497"
204,735,15,,4,"2015-01-29 02:50:51.059503","2015-01-29 02:50:51.059503"
205,735,10,,5,"2015-01-29 02:50:51.213507","2015-01-29 02:50:51.213507"
206,735,29,,7,"2015-01-29 02:50:51.367512","2015-04-13 20:58:15.943929"
207,736,5,,5,"2015-01-29 02:50:52.359542","2015-01-29 02:50:52.359542"
208,736,15,,4,"2015-01-29 02:50:52.520547","2015-01-29 02:50:52.520547"
209,736,10,,5,"2015-01-29 02:50:52.720553","2015-01-29 02:50:52.720553"
210,736,29,,7,"2015-01-29 02:50:52.874558","2015-04-13 20:58:16.062932"
211,738,10,,5,"2015-01-29 02:50:54.075595","2015-01-29 02:50:54.075595"
212,738,29,,7,"2015-01-29 02:50:54.239600","2015-04-13 20:58:16.164935"
213,741,10,,5,"2015-01-29 02:50:55.539639","2015-01-29 02:50:55.539639"
214,741,29,,7,"2015-01-29 02:50:55.681644","2015-04-13 20:58:16.255937"
215,744,5,,5,"2015-01-29 02:50:56.782677","2015-01-29 02:50:56.782677"
216,744,15,,4,"2015-01-29 02:50:56.936682","2015-01-29 02:50:56.936682"
217,744,10,,5,"2015-01-29 02:50:57.079686","2015-01-29 02:50:57.079686"
218,744,29,,7,"2015-01-29 02:50:57.233691","2015-04-13 20:58:16.354939"
219,745,5,,5,"2015-01-29 02:50:58.158719","2015-01-29 02:50:58.158719"
220,745,15,,4,"2015-01-29 02:50:58.322724","2015-01-29 02:50:58.322724"
221,745,10,,5,"2015-01-29 02:50:58.476729","2015-01-29 02:50:58.476729"
222,745,29,,7,"2015-01-29 02:50:58.630734","2015-04-13 20:58:16.458942"
223,746,5,,5,"2015-01-29 02:50:59.611763","2015-01-29 02:50:59.611763"
224,746,15,,4,"2015-01-29 02:50:59.775768","2015-01-29 02:50:59.775768"
225,746,10,,5,"2015-01-29 02:50:59.962774","2015-01-29 02:50:59.962774"
226,746,29,,7,"2015-01-29 02:51:00.127779","2015-04-13 20:58:16.593945"
227,748,10,,5,"2015-01-29 02:51:01.254814","2015-01-29 02:51:01.254814"
228,748,29,,7,"2015-01-29 02:51:01.448820","2015-04-13 20:58:16.703948"
229,751,10,,5,"2015-01-29 02:51:02.572854","2015-01-29 02:51:02.572854"
230,751,29,,7,"2015-01-29 02:51:02.746859","2015-04-13 20:58:16.805951"
231,753,5,,5,"2015-01-29 02:51:03.727889","2015-01-29 02:51:03.727889"
232,753,15,,7,"2015-01-29 02:51:03.973897","2015-01-29 02:51:03.973897"
233,753,8,,5,"2015-01-29 02:51:04.122901","2015-01-29 02:51:04.122901"
